,Title,Production Budget,Worldwide,Domestic,Foreign,Year,Awards,Genre,Production,Rated,Imdb Rating
452,Night of the Living Dead,"$4,200,000","$89,029","$89,029",-,1968,6 wins.,Horror,Continental Distributing Inc.,Not Rated,7.9
453,Glory,"$18,000,000","$87,728","$18,415","$69,313",1989,Won 3 Oscars. Another 11 wins & 18 nominations.,"Biography, Drama, History, War",TriStar,R,7.8
454,Mudbound,"$10,000,000","$31,389",-,"$31,389",2017,Nominated for 4 Oscars. Another 31 wins & 110 nominations.,"Drama, War",Netflix,R,7.4
455,Swept Away,"$10,000,000","$7,876","$7,876",-,2002,8 wins & 8 nominations.,"Comedy, Romance",Screen Gems,R,3.6
456,Long Shot,"$40,000,000","$4,701","$4,701",-,2019,4 wins & 9 nominations.,"Comedy, Romance",Summit Entertainment,R,6.9
457,Long Shot,"$40,000,000","$53,859,936","$30,316,271","$23,543,665",2019,4 wins & 9 nominations.,"Comedy, Romance",Summit Entertainment,R,6.9
458,Night School,"$29,000,000","$4,663","$4,663",-,2018,4 nominations.,Comedy,Universal Pictures,PG-13,5.6
459,Night School,"$29,000,000","$103,105,878","$77,339,130","$25,766,748",2018,4 nominations.,Comedy,Universal Pictures,PG-13,5.6
460,Avengers: Infinity War,"$300,000,000","$2,048,359,754","$678,815,482","$1,369,544,272",2018,Nominated for 1 Oscar. Another 44 wins & 70 nominations.,"Action, Adventure, Sci-Fi",Walt Disney Pictures,PG-13,8.5
461,Black Panther,"$200,000,000","$1,346,913,161","$700,059,566","$646,853,595",2018,Won 3 Oscars. Another 108 wins & 263 nominations.,"Action, Adventure, Sci-Fi",Marvel Studios,PG-13,7.3
462,Jurassic World: Fallen Kingdom,"$170,000,000","$1,308,467,944","$417,719,760","$890,748,184",2018,4 wins & 25 nominations.,"Action, Adventure, Sci-Fi",Universal Pictures,PG-13,6.2
463,Incredibles 2,"$200,000,000","$1,242,805,359","$608,581,744","$634,223,615",2018,Nominated for 1 Oscar. Another 12 wins & 72 nominations.,"Animation, Action, Adventure, Comedy, Family, Sci-Fi",Disney/Pixar,PG,7.6
464,Aquaman,"$160,000,000","$1,148,461,807","$335,061,807","$813,400,000",2018,1 win & 37 nominations.,"Action, Adventure, Fantasy, Sci-Fi",Warner Bros. Pictures,PG-13,7.0
465,Bohemian Rhapsody,"$55,000,000","$903,655,259","$216,428,042","$687,227,217",2018,Won 4 Oscars. Another 37 wins & 76 nominations.,"Biography, Drama, Music",20th Century Fox,PG-13,8.0
466,Venom,"$116,000,000","$856,085,151","$213,515,506","$642,569,645",2018,3 wins & 9 nominations.,"Action, Sci-Fi, Thriller",Vis,PG-13,6.7
467,Venom,"$25,000,000","$856,085,151","$213,515,506","$642,569,645",2018,3 wins & 9 nominations.,"Action, Sci-Fi, Thriller",Vis,PG-13,6.7
468,Deadpool 2,"$110,000,000","$734,546,611","$318,491,426","$416,055,185",2018,6 wins & 50 nominations.,"Action, Adventure, Comedy, Sci-Fi",20th Century Fox,R,7.7
469,Fantastic Beasts: The Crimes of Grindelwald,"$200,000,000","$654,855,901","$159,555,901","$495,300,000",2018,Nominated for 2 BAFTA Film Awards. Another 2 wins & 18 nominations.,"Adventure, Family, Fantasy",Warner Bros. Pictures,PG-13,6.6
470,Ant-Man and the Wasp,"$130,000,000","$622,674,139","$216,648,740","$406,025,399",2018,18 nominations.,"Action, Adventure, Comedy, Sci-Fi",Walt Disney Pictures,PG-13,7.1
471,Ready Player One,"$150,000,000","$582,890,172","$137,690,172","$445,200,000",2018,Nominated for 1 Oscar. Another 11 wins & 52 nominations.,"Action, Adventure, Sci-Fi",Warner Bros. Pictures,PG-13,7.5
472,The Meg,"$178,000,000","$530,243,742","$145,443,742","$384,800,000",2018,4 wins & 5 nominations.,"Action, Horror, Sci-Fi, Thriller",Warner Bros. Pictures,PG-13,5.7
473,Hotel Transylvania 3: Summer Vacation,"$65,000,000","$528,583,774","$167,510,016","$361,073,758",2018,2 wins & 8 nominations.,"Animation, Adventure, Comedy, Family, Fantasy",Columbia Pictures / Sony Pictures Animation,PG,6.3
474,Bumblebee,"$102,000,000","$467,989,645","$127,195,589","$340,794,056",2018,1 win & 11 nominations.,"Action, Adventure, Sci-Fi",Paramount Pictures,PG-13,6.8
475,Rampage,"$120,000,000","$428,028,233","$101,028,233","$327,000,000",2018,7 nominations.,"Action, Adventure, Sci-Fi",Warner Bros. Pictures,PG-13,6.1
476,Solo: A Star Wars Story,"$275,000,000","$392,924,807","$213,767,512","$179,157,295",2018,Nominated for 1 Oscar. Another 4 wins & 22 nominations.,"Action, Adventure, Sci-Fi",Walt Disney Pictures,PG-13,6.9
477,Fifty Shades Freed,"$55,000,000","$371,985,018","$100,407,760","$271,577,258",2018,5 wins & 10 nominations.,"Drama, Romance, Thriller",Universal Pictures,R,4.5
478,The Nun,"$22,000,000","$365,550,119","$117,450,119","$248,100,000",2018,2 wins & 1 nomination.,"Horror, Mystery, Thriller",Warner Bros. Pictures,R,5.3
479,The Nun,"$22,000,000","$32,659","$30,245","$2,414",2018,2 wins & 1 nomination.,"Horror, Mystery, Thriller",Warner Bros. Pictures,R,5.3
480,Peter Rabbit,"$50,000,000","$351,266,433","$115,253,424","$236,013,009",2018,4 wins & 14 nominations.,"Adventure, Comedy, Family, Fantasy",Columbia Pictures,PG,6.5
481,Mary Poppins Returns,"$130,000,000","$349,537,494","$171,958,438","$177,579,056",2018,Nominated for 4 Oscars. Another 19 wins & 103 nominations.,"Comedy, Family, Fantasy, Musical",Walt Disney Pictures,PG,6.7
482,A Quiet Place,"$17,000,000","$340,939,361","$188,024,361","$152,915,000",2018,Nominated for 1 Oscar. Another 33 wins & 108 nominations.,"Drama, Horror, Sci-Fi",Paramount Pictures,PG-13,7.5
483,Green Book,"$23,000,000","$329,780,417","$85,080,171","$244,700,246",2018,Won 3 Oscars. Another 53 wins & 109 nominations.,"Biography, Comedy, Drama, Music",Universal Pictures,PG-13,8.2
484,Skyscraper,"$125,000,000","$304,868,961","$68,420,120","$236,448,841",2018,3 nominations.,"Action, Adventure, Thriller",Universal Pictures,PG-13,5.8
485,Pacific Rim: Uprising,"$155,000,000","$290,930,148","$59,874,525","$231,055,623",2018,5 nominations.,"Action, Adventure, Sci-Fi",Universal Pictures,PG-13,5.6
486,Maze Runner: The Death Cure,"$61,000,000","$288,175,335","$58,032,443","$230,142,892",2018,6 nominations.,"Action, Adventure, Sci-Fi, Thriller",20th Century Fox,PG-13,6.2
487,Tomb Raider,"$90,000,000","$274,650,803","$58,250,803","$216,400,000",2018,7 nominations.,"Action, Adventure, Fantasy, Thriller",Warner Bros. Pictures,PG-13,6.3
488,Halloween,"$15,000,000","$255,485,178","$159,342,015","$96,143,163",1978,6 wins & 2 nominations.,"Horror, Thriller",Compass International Pictures,R,7.8
489,Halloween,"$10,000,000","$255,485,178","$159,342,015","$96,143,163",1978,6 wins & 2 nominations.,"Horror, Thriller",Compass International Pictures,R,7.8
490,Crazy Rich Asians,"$30,000,000","$238,532,921","$174,532,921","$64,000,000",2018,Nominated for 2 Golden Globes. Another 11 wins & 59 nominations.,"Comedy, Drama, Romance",Warner Bros. Pictures,PG-13,6.9
491,Creed II,"$50,000,000","$214,215,889","$115,715,889","$98,500,000",2018,1 win & 12 nominations.,"Drama, Sport",MGM,PG-13,7.1
492,Smallfoot,"$80,000,000","$214,040,103","$83,240,103","$130,800,000",2018,1 win & 13 nominations.,"Animation, Adventure, Comedy, Family, Fantasy, Musical",Warner Bros. Pictures,PG,6.6
493,The Island,"$120,000,000","$198,326,350","$670,883","$197,655,467",2005,1 win & 6 nominations.,"Action, Sci-Fi, Thriller",Dreamworks Distribution LLC,PG-13,6.8
494,The Island,"$22,000,000","$198,326,350","$670,883","$197,655,467",2005,1 win & 6 nominations.,"Action, Sci-Fi, Thriller",Dreamworks Distribution LLC,PG-13,6.8
495,The Equalizer 2,"$77,000,000","$190,400,157","$102,084,362","$88,315,795",2018,1 win & 4 nominations.,"Action, Crime, Thriller",Columbia Pictures,R,6.7
496,The Mule,"$50,000,000","$174,804,407","$103,804,407","$71,000,000",2018,1 win & 5 nominations.,"Crime, Drama, Thriller",Warner Bros. Pictures,R,7.0
497,The Nutcracker and the Four Realms,"$132,900,000","$173,961,069","$54,858,851","$119,102,218",2018,1 win & 8 nominations.,"Adventure, Family, Fantasy",Walt Disney Pictures,PG,5.5
498,Insidious: The Last Key,"$10,000,000","$167,885,588","$67,745,330","$100,140,258",2018,6 nominations.,"Horror, Mystery, Thriller",Universal Pictures,PG-13,5.7
499,The Predator,"$88,000,000","$160,542,134","$51,024,708","$109,517,426",2018,1 win & 6 nominations.,"Action, Adventure, Sci-Fi, Thriller",20th Century Fox,R,5.4
500,Red Sparrow,"$69,000,000","$151,572,634","$46,874,505","$104,698,129",2018,3 wins & 8 nominations.,"Action, Drama, Thriller",Twentieth Century Fox,R,6.6
501,Instant Family,"$48,000,000","$120,556,201","$67,363,237","$53,192,964",2018,2 wins & 5 nominations.,"Comedy, Drama",Paramount Pictures,PG-13,7.3
502,Game Night,"$37,000,000","$117,679,066","$69,179,066","$48,500,000",2018,4 wins & 18 nominations.,"Action, Comedy, Crime, Mystery",New Line Cinema,R,6.9
503,First Man,"$60,000,000","$105,697,415","$44,936,545","$60,760,870",2018,Won 1 Oscar. Another 27 wins & 186 nominations.,"Biography, Drama, History",Universal Pictures,PG-13,7.3
504,Book Club,"$10,000,000","$104,438,188","$68,566,296","$35,871,892",2018,1 win & 3 nominations.,"Comedy, Drama, Romance",Paramount Pictures,PG-13,6.1
505,Alpha,"$51,000,000","$98,203,196","$35,857,181","$62,346,015",2018,1 win.,"Adventure, Drama, Family",Sony Pictures,PG-13,6.7
506,A Simple Favor,"$20,000,000","$97,644,617","$53,548,586","$44,096,031",2018,2 wins & 4 nominations.,"Comedy, Crime, Drama, Mystery, Thriller",Lionsgate,R,6.8
507,The Favourite,"$15,000,000","$95,918,706","$34,366,783","$61,551,923",2018,Won 1 Oscar. Another 177 wins & 316 nominations.,"Biography, Comedy, Drama, History","Fox Searchlight Pictures, Film4 and Waypoint",R,7.6
508,I Feel Pretty,"$32,000,000","$94,539,426","$48,795,601","$45,743,825",2018,5 nominations.,"Comedy, Romance",STX Entertainment,PG-13,5.5
509,Blockers,"$21,000,000","$94,017,294","$60,311,495","$33,705,799",2018,1 win & 6 nominations.,Comedy,Universal Pictures,R,6.2
510,BlacKkKlansman,"$15,000,000","$93,400,823","$49,275,340","$44,125,483",2018,Won 1 Oscar. Another 42 wins & 205 nominations.,"Biography, Crime, Drama",Focus Features,R,7.5
511,Overboard,"$12,000,000","$91,244,913","$50,316,123","$40,928,790",1987,3 nominations.,"Comedy, Romance",MGM,PG,6.9
512,Sherlock Gnomes,"$59,000,000","$90,497,778","$43,242,871","$47,254,907",2018,1 win & 5 nominations.,"Animation, Adventure, Comedy, Family, Fantasy, Mystery, Romance",Paramount Pictures,PG,5.1
513,Robin Hood,"$210,000,000","$86,489,031","$30,824,628","$55,664,403",2010,1 win & 14 nominations.,"Action, Drama, History, Romance",Universal,PG-13,6.6
514,Robin Hood,"$99,000,000","$86,489,031","$30,824,628","$55,664,403",2010,1 win & 14 nominations.,"Action, Drama, History, Romance",Universal,PG-13,6.6
515,I Can Only Imagine,"$7,000,000","$86,026,201","$83,482,352","$2,543,849",2018,5 wins & 4 nominations.,"Biography, Drama, Family, Music",Lionsgate and Roadside Attractions,PG,7.3
516,Mortal Engines,"$100,000,000","$83,672,673","$15,951,040","$67,721,633",2018,1 win & 2 nominations.,"Action, Adventure, Fantasy, Sci-Fi, Thriller",Universal Pictures,PG-13,6.1
517,Hereditary,"$10,000,000","$80,239,658","$44,069,456","$36,170,202",2018,44 wins & 103 nominations.,"Drama, Horror, Mystery, Thriller",Windy Hill Pictures,R,7.3
518,Tag,"$28,000,000","$78,130,625","$54,730,625","$23,400,000",2018,2 nominations.,Comedy,Warner Bros. Pictures,R,6.5
519,Vice,"$60,000,000","$76,073,488","$47,836,282","$28,237,206",2018,Won 1 Oscar. Another 32 wins & 129 nominations.,"Biography, Comedy, Drama",Annapurna Pictures,R,7.2
520,Widows,"$40,000,000","$75,984,700","$42,402,632","$33,582,068",2018,Nominated for 1 BAFTA Film Award. Another 18 wins & 91 nominations.,"Crime, Drama, Thriller",20th Century Fox,R,6.9
521,Sicario: Day of the Soldado,"$35,000,000","$75,837,743","$50,072,235","$25,765,508",2018,1 win & 5 nominations.,"Action, Crime, Drama, Thriller",Columbia Pictures,R,7.1
522,Second Act,"$15,700,000","$72,282,227","$39,282,227","$33,000,000",2018,1 nomination.,"Comedy, Drama, Romance",STXfilms,PG-13,5.8
523,12 Strong,"$35,000,000","$67,450,815","$45,819,713","$21,631,102",2018,3 nominations.,"Action, Drama, History, War",Warner Bros. Pictures,R,6.5
524,"Love, Simon","$10,000,000","$66,316,289","$40,826,341","$25,489,948",2018,8 wins & 24 nominations.,"Comedy, Drama, Romance",20th Century Fox,PG-13,7.6
525,Mile 22,"$35,000,000","$66,308,758","$36,108,758","$30,200,000",2018,1 nomination.,"Action, Thriller",STXfilms,R,6.1
526,Life of the Party,"$30,000,000","$65,859,911","$53,059,911","$12,800,000",2018,3 wins & 4 nominations.,Comedy,New Line Cinema,PG-13,5.6
527,Adrift,"$35,000,000","$59,945,012","$31,445,012","$28,500,000",2018,5 nominations.,"Action, Adventure, Biography, Drama, Romance, Thriller",STXfilms,PG-13,6.6
528,Early Man,"$50,000,000","$54,622,814","$8,267,544","$46,355,270",2018,1 win & 10 nominations.,"Animation, Adventure, Comedy, Family, Fantasy, Sport",Lionsgate,PG,6.1
529,Peppermint,"$25,000,000","$53,918,723","$35,418,723","$18,500,000",2018,4 nominations.,"Action, Drama, Thriller",STXfilms,R,6.5
530,Slender Man,"$10,000,000","$51,738,549","$30,569,484","$21,169,065",2018,3 nominations.,"Horror, Mystery, Thriller",Screen Gems,PG-13,3.2
531,Breaking In,"$6,000,000","$51,411,620","$46,840,590","$4,571,030",2018,1 win & 1 nomination.,"Action, Crime, Drama, Thriller",Universal Pictures,PG-13,5.4
532,Death Wish,"$30,000,000","$49,562,710","$34,017,028","$15,545,682",2018,4 nominations.,"Action, Crime, Drama, Thriller",MGM,R,6.4
533,Mary Queen of Scots,"$25,000,000","$46,710,283","$16,468,499","$30,241,784",2018,Nominated for 2 Oscars. Another 6 wins & 21 nominations.,"Biography, Drama, History",Metrodome,R,6.3
534,Uncle Drew,"$18,000,000","$46,664,414","$42,469,946","$4,194,468",2018,3 wins & 1 nomination.,"Comedy, Sport",Lionsgate,PG-13,5.7
535,Winchester,"$3,500,000","$44,019,588","$25,091,816","$18,927,772",2018,5 wins & 9 nominations.,"Biography, Drama, Fantasy, Horror, Mystery, Thriller",CBS Films,PG-13,5.4
536,Annihilation,"$55,000,000","$43,070,915","$32,732,301","$10,338,614",2018,16 wins & 57 nominations.,"Adventure, Drama, Horror, Mystery, Sci-Fi, Thriller",Paramount Pictures,R,6.9
537,The Possession of Hannah Grace,"$6,000,000","$43,016,528","$14,837,422","$28,179,106",2018,3 nominations.,"Horror, Mystery, Thriller",Screen Gems,R,5.2
538,The Darkest Minds,"$34,000,000","$41,142,379","$12,695,691","$28,446,688",2018,1 win & 3 nominations.,"Action, Adventure, Drama, Romance, Sci-Fi, Thriller",20th Century Fox,PG-13,5.7
539,Sherlock Holmes: A Game of Shadows,"$125,000,000","$40,466,970","$30,573,626","$9,893,344",2011,3 wins & 11 nominations.,"Action, Adventure, Crime, Mystery, Thriller",Warner Bros. Pictures,PG-13,7.5
540,On the Basis of Sex,"$20,000,000","$38,673,750","$24,622,687","$14,051,063",2018,1 win & 8 nominations.,"Biography, Drama",Focus Features,PG-13,7.0
541,The Hate U Give,"$23,000,000","$34,934,009","$29,719,483","$5,214,526",2018,22 wins & 32 nominations.,"Crime, Drama",20th Century Fox,PG-13,7.4
542,Bad Times at the El Royale,"$32,000,000","$31,882,724","$17,839,115","$14,043,609",2018,2 wins & 9 nominations.,"Crime, Drama, Mystery, Thriller",20th Century Fox,R,7.1
543,White Boy Rick,"$30,000,000","$25,957,482","$24,011,188","$1,946,294",2018,1 nomination.,"Crime, Drama",Columbia Pictures,R,6.4
544,"Paul, Apostle of Christ","$5,000,000","$25,915,966","$17,560,475","$8,355,491",2018,4 wins & 3 nominations.,"Adventure, Biography, Drama, History",Affirm Films,PG-13,6.6
545,Proud Mary,"$30,000,000","$21,753,365","$20,877,013","$876,352",2018,1 win & 4 nominations.,"Action, Crime, Drama, Thriller",Screen Gems,R,4.9
546,If Beale Street Could Talk,"$12,000,000","$20,596,567","$14,915,773","$5,680,794",2018,Won 1 Oscar. Another 103 wins & 176 nominations.,"Drama, Romance",Annapurna Pictures,R,7.1
547,Sorry to Bother You,"$3,200,000","$18,170,707","$17,493,096","$677,611",2018,17 wins & 51 nominations.,"Comedy, Fantasy, Sci-Fi",Annapurna Pictures,R,6.9
548,Hell Fest,"$5,500,000","$18,159,691","$11,107,431","$7,052,260",2018,1 win.,Horror,Tucker Tooley Entertainment,R,5.5
549,Beautiful Boy,"$25,000,000","$16,636,604","$7,649,973","$8,986,631",2018,Nominated for 1 Golden Globe. Another 9 wins & 27 nominations.,"Biography, Drama",Amazon Studios,R,7.3
550,Upgrade,"$3,000,000","$16,593,554","$11,977,130","$4,616,424",2018,3 wins & 24 nominations.,"Action, Horror, Sci-Fi, Thriller",Blumhouse Productions,R,7.5
551,Eighth Grade,"$2,000,000","$14,347,433","$13,539,709","$807,724",2018,Nominated for 1 Golden Globe. Another 61 wins & 88 nominations.,"Comedy, Drama",A24,R,7.4
552,Unsane,"$1,500,000","$14,293,601","$7,732,899","$6,560,702",2018,1 win & 4 nominations.,"Drama, Horror, Mystery, Thriller",Fingerprint Releasing and Bleecker Street,R,6.4
553,Hotel Artemis,"$15,000,000","$13,313,581","$6,708,147","$6,605,434",2018,1 win & 1 nomination.,"Action, Crime, Drama, Sci-Fi, Thriller",Global Road Entertainment,R,6.1
554,The Sisters Brothers,"$38,000,000","$13,143,056","$3,143,056","$10,000,000",2018,10 wins & 20 nominations.,"Crime, Drama, Western",Annapurna Pictures,R,7.0
555,Welcome to Marwen,"$45,000,000","$13,061,491","$10,763,520","$2,297,971",2018,2 wins & 8 nominations.,"Biography, Comedy, Drama, Fantasy, Romance",Universal Pictures,PG-13,6.1
556,Can You Ever Forgive Me?,"$10,000,000","$12,442,161","$8,803,865","$3,638,296",2018,Nominated for 3 Oscars. Another 52 wins & 91 nominations.,"Biography, Comedy, Crime, Drama",Fox Searchlight Pictures,R,7.1
557,Boy Erased,"$11,000,000","$11,853,081","$6,788,692","$5,064,389",2018,Nominated for 2 Golden Globes. Another 9 wins & 42 nominations.,"Biography, Drama",Focus Features,R,6.9
558,Unstoppable,"$95,000,000","$11,845,347","$101,417","$11,743,930",2010,Nominated for 1 Oscar. Another 1 win & 13 nominations.,"Action, Thriller",20th Century Fox,PG-13,6.8
559,Terminator 2: Judgment Day,"$100,000,000","$10,847,903","$4,152,000","$6,695,903",1991,Won 4 Oscars. Another 32 wins & 33 nominations.,"Action, Sci-Fi",TriStar Pictures,R,8.5
560,Kin,"$30,000,000","$10,313,019","$5,718,096","$4,594,923",2018,3 nominations.,"Action, Crime, Drama, Sci-Fi, Thriller",Lionsgate,PG-13,5.8
561,Replicas,"$30,000,000","$9,330,075","$4,046,429","$5,283,646",2018,1 nomination.,"Drama, Sci-Fi, Thriller",Entertainment Studios Motion Pictures,PG-13,5.5
562,Replicas,"$4,000,000","$9,330,075","$4,046,429","$5,283,646",2018,1 nomination.,"Drama, Sci-Fi, Thriller",Entertainment Studios Motion Pictures,PG-13,5.5
563,Suspiria,"$20,000,000","$7,942,093","$2,483,472","$5,458,621",1977,3 nominations.,Horror,International Classics Inc.,R,7.4
564,Gotti,"$10,000,000","$6,412,349","$4,343,227","$2,069,122",2018,7 nominations.,"Biography, Crime, Drama",Vertical Entertainment,R,4.8
565,Destroyer,"$9,000,000","$5,580,940","$1,533,324","$4,047,616",2018,Nominated for 1 Golden Globe. Another 2 wins & 15 nominations.,"Action, Crime, Drama, Mystery, Thriller",Annapurna Pictures,R,6.2
566,Sgt. Stubby: An American Hero,"$25,000,000","$4,932,694","$4,015,935","$916,759",2018,21 wins & 6 nominations.,"Animation, Adventure, Family, History, War",Fun Academy Media Group,PG,6.9
567,First Reformed,"$3,500,000","$3,862,498","$3,448,256","$414,242",2017,Nominated for 1 Oscar. Another 60 wins & 98 nominations.,"Drama, Mystery, Thriller",A24,R,7.1
568,The Apparition,"$17,000,000","$3,562,793","$28,293","$3,534,500",2012,1 nomination.,"Horror, Thriller",Warner Bros. Pictures,PG-13,4.1
569,Thoroughbreds,"$5,000,000","$3,187,255","$3,072,605","$114,650",2017,1 win & 21 nominations.,"Crime, Drama, Thriller",Focus Features,R,6.7
570,The Happy Prince,"$13,000,000","$2,621,992","$466,440","$2,155,552",2018,4 wins & 13 nominations.,"Biography, Drama",Sony Pictures Classics,R,6.2
571,Assassination Nation,"$7,000,000","$2,584,988","$2,005,142","$579,846",2018,1 win & 4 nominations.,"Action, Comedy, Crime, Drama, Horror, Thriller",NEON,R,5.9
572,Lean on Pete,"$8,000,000","$2,443,584","$1,163,056","$1,280,528",2017,11 wins & 15 nominations.,"Adventure, Drama, Sport",A24,R,7.2
573,Hearts Beat Loud,"$2,000,000","$2,417,165","$2,386,251","$30,914",2018,3 wins & 9 nominations.,"Comedy, Drama, Music",Gunpowder &amp; Sky,PG-13,6.9
574,The Miseducation of Cameron Post,"$900,000","$1,451,729","$904,703","$547,026",2018,5 wins & 14 nominations.,Drama,FilmRise,Not Rated,6.6
575,Mandy,"$6,000,000","$1,335,484","$1,214,525","$120,959",2018,12 wins & 40 nominations.,"Action, Fantasy, Horror, Mystery, Thriller",RLJE Films,Not Rated,6.6
576,London Fields,"$8,000,000","$487,420","$252,676","$234,744",2018,1 nomination.,"Crime, Mystery, Thriller",20th Century Fox,R,4.3
577,Shine,"$5,500,000","$333,388","$333,388",-,1996,Won 1 Oscar. Another 45 wins & 51 nominations.,"Biography, Drama, Music, Romance",New Line Home Entertainment,PG-13,7.7
578,Cat on a Hot Tin Roof,"$3,000,000","$89,332","$89,332",-,1958,Nominated for 6 Oscars. Another 3 wins & 10 nominations.,Drama,MGM Home Entertainment,Not Rated,8.0
579,The Judge,"$50,000,000","$23,127","$22,257",$870,2014,Nominated for 1 Oscar. Another 3 wins & 8 nominations.,"Crime, Drama",Warner Bros. Pictures,R,7.4
580,Blood Feast,"$1,200,000","$8,708","$8,708",-,1963,1 nomination.,Horror,Box Office Spectaculars,Not Rated,5.1
581,The Peacemaker,"$50,000,000","$4,400","$4,400",-,1997,2 nominations.,"Action, Thriller",Dreamworks,R,5.9
582,The Family,"$30,000,000","$3,696","$3,696",-,2013,1 nomination.,"Comedy, Crime, Thriller",Relativity Media,R,6.3
583,Avengers: Endgame,"$400,000,000","$2,797,800,564","$858,373,000","$1,939,427,564",2019,Nominated for 1 Oscar. Another 46 wins & 97 nominations.,"Action, Adventure, Drama, Sci-Fi",Marvel Studios,PG-13,8.5
584,The Lion King,"$260,000,000","$1,656,943,394","$543,638,043","$1,113,305,351",1994,Won 2 Oscars. Another 35 wins & 34 nominations.,"Animation, Adventure, Drama, Family, Musical",Buena Vista,G,8.5
585,The Lion King,"$79,300,000","$1,656,943,394","$543,638,043","$1,113,305,351",1994,Won 2 Oscars. Another 35 wins & 34 nominations.,"Animation, Adventure, Drama, Family, Musical",Buena Vista,G,8.5
586,Frozen II,"$150,000,000","$1,443,338,931","$476,192,353","$967,146,578",2019,Nominated for 1 Oscar. Another 4 wins & 69 nominations.,"Animation, Adventure, Comedy, Family, Fantasy, Musical",Walt Disney Pictures,PG,7.2
587,Captain Marvel,"$175,000,000","$1,128,274,794","$426,829,839","$701,444,955",2019,6 wins & 34 nominations.,"Action, Adventure, Sci-Fi",Marvel Studios,PG-13,6.9
588,Toy Story 4,"$200,000,000","$1,073,394,593","$434,038,008","$639,356,585",2019,Nominated for 2 Oscars. Another 48 wins & 48 nominations.,"Animation, Adventure, Comedy, Family, Fantasy",Disney/Pixar,G,7.9
589,Joker,"$55,000,000","$1,073,255,159","$335,355,159","$737,900,000",2019,Won 2 Oscars. Another 57 wins & 163 nominations.,"Crime, Drama, Thriller",Warner Bros. Pictures,R,8.6
590,Aladdin,"$182,000,000","$1,050,693,953","$355,559,216","$695,134,737",1992,Won 2 Oscars. Another 31 wins & 22 nominations.,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance",Walt Disney Pictures,G,8.0
591,Aladdin,"$28,000,000","$1,050,693,953","$355,559,216","$695,134,737",1992,Won 2 Oscars. Another 31 wins & 22 nominations.,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance",Walt Disney Pictures,G,8.0
592,Jumanji: The Next Level,"$125,000,000","$782,162,613","$308,709,423","$473,453,190",2019,2 nominations.,"Action, Adventure, Comedy, Fantasy",Sony Pictures,PG-13,6.9
593,How to Train Your Dragon: The Hidden World,"$129,000,000","$521,799,505","$160,799,505","$361,000,000",2019,Nominated for 1 Oscar. Another 4 wins & 58 nominations.,"Animation, Action, Adventure, Family, Fantasy",Universal Pictures,PG,7.5
594,Maleficent: Mistress of Evil,"$185,000,000","$491,730,089","$113,929,605","$377,800,484",2019,Nominated for 1 Oscar. Another 1 win & 6 nominations.,"Adventure, Family, Fantasy",Walt Disney Pictures,PG,6.7
595,The Secret Life of Pets 2,"$80,000,000","$430,051,293","$158,874,395","$271,176,898",2019,7 nominations.,"Animation, Adventure, Comedy, Family",Universal Pictures,PG,6.5
596,Alita: Battle Angel,"$170,000,000","$404,852,543","$85,710,210","$319,142,333",2019,6 wins & 26 nominations.,"Action, Adventure, Sci-Fi, Thriller",20th Century Fox,PG-13,7.3
597,Godzilla: King of the Monsters,"$170,000,000","$386,600,138","$110,500,138","$276,100,000",2019,3 wins & 10 nominations.,"Action, Adventure, Fantasy, Sci-Fi",Warner Bros. Pictures,PG-13,6.1
598,Shazam!,"$85,000,000","$365,971,656","$140,371,656","$225,600,000",2019,17 nominations.,"Action, Adventure, Comedy, Fantasy",New Line Cinema,PG-13,7.1
599,Dumbo,"$170,000,000","$353,284,621","$114,766,307","$238,518,314",1941,Won 1 Oscar. Another 4 wins & 1 nomination.,"Animation, Drama, Family, Musical",Walt Disney Productions,G,7.2
600,1917,"$100,000,000","$328,667,469","$148,767,469","$179,900,000",2019,Won 3 Oscars. Another 103 wins & 152 nominations.,"Drama, War",Universal Pictures,R,8.5
601,Knives Out,"$40,000,000","$305,183,842","$162,959,187","$142,224,655",2019,Nominated for 1 Oscar. Another 39 wins & 84 nominations.,"Comedy, Crime, Drama, Mystery, Thriller",Lionsgate,PG-13,8.0
602,Terminator: Dark Fate,"$185,000,000","$261,119,292","$62,253,077","$198,866,215",2019,1 win & 5 nominations.,"Action, Adventure, Sci-Fi",Paramount Pictures,R,6.3
603,Us,"$20,000,000","$255,184,580","$175,084,580","$80,100,000",2019,65 wins & 96 nominations.,"Horror, Mystery, Thriller",Universal Pictures,R,6.9
604,Men in Black: International,"$110,000,000","$253,890,701","$80,001,807","$173,888,894",2019,8 nominations.,"Action, Adventure, Comedy, Sci-Fi",Columbia Pictures,PG-13,5.6
605,Glass,"$20,000,000","$246,999,039","$111,048,468","$135,950,571",2019,1 win & 12 nominations.,"Drama, Sci-Fi, Thriller",Universal Pictures,PG-13,6.7
606,Annabelle Comes Home,"$27,000,000","$231,252,591","$74,152,591","$157,100,000",2019,2 nominations.,"Horror, Mystery, Thriller",New Line Cinema,R,5.9
