,Title,Production Budget,Worldwide,Domestic,Foreign,Year,Awards,Genre,Production,Rated,Imdb Rating
336,The Fate of the Furious,"$250,000,000","$1,236,005,118","$226,008,385","$1,009,996,733",2017,1 win & 11 nominations.,"Action, Adventure, Thriller",Universal Pictures,PG-13,6.7
337,Despicable Me 3,"$75,000,000","$1,034,799,409","$264,624,300","$770,175,109",2017,32 nominations.,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi",Universal Pictures,PG,6.3
338,Jumanji: Welcome to the Jungle,"$90,000,000","$962,077,546","$404,515,480","$557,562,066",2017,5 wins & 14 nominations.,"Action, Adventure, Comedy, Fantasy",Columbia Pictures,PG-13,6.9
339,Spider-Man: Homecoming,"$175,000,000","$880,166,924","$334,201,140","$545,965,784",2017,7 wins & 9 nominations.,"Action, Adventure, Sci-Fi",Sony Pictures,PG-13,7.4
340,Thor: Ragnarok,"$180,000,000","$853,977,126","$315,058,289","$538,918,837",2017,6 wins & 48 nominations.,"Action, Adventure, Comedy, Fantasy, Sci-Fi",Walt Disney Pictures,PG-13,7.9
341,Wonder Woman,"$150,000,000","$821,847,012","$412,563,408","$409,283,604",2017,23 wins & 70 nominations.,"Action, Adventure, Fantasy, Sci-Fi, War",Warner Bros. Pictures,PG-13,7.4
342,Coco,"$175,000,000","$807,082,196","$209,726,015","$597,356,181",2017,Won 2 Oscars. Another 107 wins & 35 nominations.,"Animation, Adventure, Family, Fantasy, Music, Mystery",Disney/Pixar,PG,8.4
343,Pirates of the Caribbean: Dead Men Tell No Tales,"$230,000,000","$794,861,794","$172,558,876","$622,302,918",2017,1 win & 12 nominations.,"Action, Adventure, Fantasy",Walt Disney Pictures,PG-13,6.6
344,It,"$35,000,000","$700,381,748","$327,481,748","$372,900,000",2017,8 wins & 45 nominations.,Horror,Warner Bros. Pictures,R,7.3
345,Justice League,"$300,000,000","$657,924,295","$229,024,295","$428,900,000",2017,2 wins & 13 nominations.,"Action, Adventure, Fantasy, Sci-Fi",Warner Bros. Pictures,PG-13,6.4
346,Logan,"$127,000,000","$619,021,436","$226,277,068","$392,744,368",2017,Nominated for 1 Oscar. Another 26 wins & 73 nominations.,"Action, Drama, Sci-Fi, Thriller",20th Century Fox,R,8.1
347,Transformers: The Last Knight,"$217,000,000","$605,425,157","$130,168,683","$475,256,474",2017,2 wins & 19 nominations.,"Action, Adventure, Sci-Fi",Paramount Pictures,PG-13,5.2
348,Kong: Skull Island,"$185,000,000","$566,652,812","$168,052,812","$398,600,000",2017,Nominated for 1 Oscar. Another 1 win & 19 nominations.,"Action, Adventure, Fantasy, Sci-Fi",Warner Bros. Pictures/Legendary Pictures,PG-13,6.6
349,The Boss Baby,"$125,000,000","$527,965,936","$175,003,033","$352,962,903",2017,Nominated for 1 Oscar. Another 4 wins & 20 nominations.,"Animation, Adventure, Comedy, Family, Fantasy",DreamWorks Animation,PG,6.3
350,Dunkirk,"$150,000,000","$525,245,546","$188,045,546","$337,200,000",2017,Won 3 Oscars. Another 64 wins & 227 nominations.,"Action, Drama, History, Thriller, War",Warner Bros. Pictures,PG-13,7.9
351,War for the Planet of the Apes,"$152,000,000","$490,719,763","$146,880,162","$343,839,601",2017,Nominated for 1 Oscar. Another 28 wins & 62 nominations.,"Action, Adventure, Drama, Sci-Fi, Thriller",20th Century Fox,PG-13,7.4
352,The Greatest Showman,"$84,000,000","$434,993,183","$174,340,174","$260,653,009",2017,Nominated for 1 Oscar. Another 15 wins & 31 nominations.,"Biography, Drama, Musical",20th Century Fox,PG,7.6
353,Kingsman: The Golden Circle,"$104,000,000","$410,902,662","$100,234,838","$310,667,824",2017,2 wins & 7 nominations.,"Action, Adventure, Comedy",20th Century Fox,R,6.7
354,The Mummy,"$195,000,000","$409,231,607","$80,227,895","$329,003,712",1999,Nominated for 1 Oscar. Another 5 wins & 20 nominations.,"Action, Adventure, Fantasy",Universal Pictures,PG-13,7.0
355,The Mummy,"$80,000,000","$409,231,607","$80,227,895","$329,003,712",1999,Nominated for 1 Oscar. Another 5 wins & 20 nominations.,"Action, Adventure, Fantasy",Universal Pictures,PG-13,7.0
356,Cars 3,"$175,000,000","$383,930,656","$152,901,115","$231,029,541",2017,1 win & 23 nominations.,"Animation, Adventure, Comedy, Family, Sport",Walt Disney Pictures,G,6.7
